ID	SiteID	PID	VID	SN	NAME	DESC
1	PE_ASR9010C3012C	A9K-RSP440-TR,	V09,	FOC2102NLRY	module 0/RSP0/CPU0	ASR9K Route Switch Processor with 440G/slot Fabric and 6GB
2	PE_ASR9010C3012C	A9K-RSP440-TR,	V09,	FOC2102NLNV	module 0/RSP1/CPU0	ASR9K Route Switch Processor with 440G/slot Fabric and 6GB
3	PE_ASR9010C3012C	ASR-9010-FAN-V2,	V03	FOC2101NPQU	fantray 0/FT0/SP	ASR 9010 Fan Tray Version 2
4	PE_ASR9010C3012C	,	N/A,		fan0 0/FT0/SP	ASR9K Generic Fan
5	PE_ASR9010C3012C	,	N/A,		fan1 0/FT0/SP	ASR9K Generic Fan
6	PE_ASR9010C3012C	,	N/A,		fan2 0/FT0/SP	ASR9K Generic Fan
7	PE_ASR9010C3012C	,	N/A,		fan3 0/FT0/SP	ASR9K Generic Fan
8	PE_ASR9010C3012C	,	N/A,		fan4 0/FT0/SP	ASR9K Generic Fan
9	PE_ASR9010C3012C	,	N/A,		fan5 0/FT0/SP	ASR9K Generic Fan
10	PE_ASR9010C3012C	,	N/A,		fan6 0/FT0/SP	ASR9K Generic Fan
11	PE_ASR9010C3012C	,	N/A,		fan7 0/FT0/SP	ASR9K Generic Fan
12	PE_ASR9010C3012C	,	N/A,		fan8 0/FT0/SP	ASR9K Generic Fan
13	PE_ASR9010C3012C	,	N/A,		fan9 0/FT0/SP	ASR9K Generic Fan
14	PE_ASR9010C3012C	,	N/A,		fan10 0/FT0/SP	ASR9K Generic Fan
15	PE_ASR9010C3012C	,	N/A,		fan11 0/FT0/SP	ASR9K Generic Fan
16	PE_ASR9010C3012C	ASR-9010-FAN-V2,	V03	FOC2101NPPV	fantray 0/FT1/SP	ASR 9010 Fan Tray Version 2
17	PE_ASR9010C3012C	,	N/A,		fan0 0/FT1/SP	ASR9K Generic Fan
18	PE_ASR9010C3012C	,	N/A,		fan1 0/FT1/SP	ASR9K Generic Fan
19	PE_ASR9010C3012C	,	N/A,		fan2 0/FT1/SP	ASR9K Generic Fan
20	PE_ASR9010C3012C	,	N/A,		fan3 0/FT1/SP	ASR9K Generic Fan
21	PE_ASR9010C3012C	,	N/A,		fan4 0/FT1/SP	ASR9K Generic Fan
22	PE_ASR9010C3012C	,	N/A,		fan5 0/FT1/SP	ASR9K Generic Fan
23	PE_ASR9010C3012C	,	N/A,		fan6 0/FT1/SP	ASR9K Generic Fan
24	PE_ASR9010C3012C	,	N/A,		fan7 0/FT1/SP	ASR9K Generic Fan
25	PE_ASR9010C3012C	,	N/A,		fan8 0/FT1/SP	ASR9K Generic Fan
26	PE_ASR9010C3012C	,	N/A,		fan9 0/FT1/SP	ASR9K Generic Fan
27	PE_ASR9010C3012C	,	N/A,		fan10 0/FT1/SP	ASR9K Generic Fan
28	PE_ASR9010C3012C	,	N/A,		fan11 0/FT1/SP	ASR9K Generic Fan
29	PE_ASR9010C3012C	A9K-MOD80-TR,	V10,	FOC2101NLCH	module 0/0/CPU0	80G Modular Linecard, Packet Transport Optimized
30	PE_ASR9010C3012C	A9K-MPA-4X10GE,	V06,	FOC2101NEP2	module 0/0/0	ASR 9000 4-port 10GE Modular Port Adapter
31	PE_ASR9010C3012C	XFP-10G-MM-SR	V03	FNS205201VE	module mau 0/0/0/0	Multirate 10GBASE-SR, SMF
32	PE_ASR9010C3012C	XFP-10GLR-OC192SR	V04	SPC20250020	module mau 0/0/0/1	Multirate 10GBASE-LR and OC-192/STM-64 SR-1 XFP, SMF
33	PE_ASR9010C3012C	,	/1	UU81LJM	module mau 0/0/0/2	
34	PE_ASR9010C3012C	,	8/1	UVS1TQD	module mau 0/0/0/3	
35	PE_ASR9010C3012C	A9K-MPA-4X10GE,	V06,	FOC2101NESZ	module 0/0/1	ASR 9000 4-port 10GE Modular Port Adapter
36	PE_ASR9010C3012C	XFP-10G-MM-SR	V03	FNS205201UB	module mau 0/0/1/0	Multirate 10GBASE-SR, SMF
37	PE_ASR9010C3012C	XFP-10GLR-OC192SR	V04	SPC202401F8	module mau 0/0/1/1	Multirate 10GBASE-LR and OC-192/STM-64 SR-1 XFP, SMF
38	PE_ASR9010C3012C	XFP-10GLR-OC192SR	V04	SPC202401FA	module mau 0/0/1/2	Multirate 10GBASE-LR and OC-192/STM-64 SR-1 XFP, SMF
39	PE_ASR9010C3012C	XFP-10GLR-OC192SR	V04	SPC202500A9	module mau 0/0/1/3	Multirate 10GBASE-LR and OC-192/STM-64 SR-1 XFP, SMF
40	PE_ASR9010C3012C	A9K-MOD80-TR,	V10,	FOC2101NLCX	module 0/1/CPU0	80G Modular Linecard, Packet Transport Optimized
41	PE_ASR9010C3012C	A9K-MPA-4X10GE,	V06,	FOC2101NEGA	module 0/1/0	ASR 9000 4-port 10GE Modular Port Adapter
42	PE_ASR9010C3012C	XFP-10G-MM-SR	V03	FNS205201VG	module mau 0/1/0/0	Multirate 10GBASE-SR, SMF
43	PE_ASR9010C3012C	XFP-10GLR-OC192SR	V04	SPC202401FD	module mau 0/1/0/1	Multirate 10GBASE-LR and OC-192/STM-64 SR-1 XFP, SMF
